[2026-07-06T18:03:01]   Skipping AstronomyNow (News) — next fetch in ~905m
[2026-07-06T21:53:22]   Skipping DefenceIQ-Reports — next fetch in ~663m
[2026-07-06T21:53:22]   Skipping DefenceIQ-AirDefence — next fetch in ~663m
[2026-07-06T21:53:22]   Skipping DefenceTalk-AirDefence — next fetch in ~663m
[2026-07-06T21:53:22]   Skipping DefenceIQ-Articles — next fetch in ~664m
[2026-07-06T21:53:22]   Skipping JanesNews — next fetch in ~664m
[2026-07-06T21:53:22]   Skipping Raytheon — next fetch in ~665m
[2026-07-06T21:53:23]   Skipping Netherlands — next fetch in ~665m
[2026-07-06T21:53:23]   Skipping Estonia — next fetch in ~665m
[2026-07-06T21:53:23]   Skipping UK — next fetch in ~665m
[2026-07-06T21:53:23]   Skipping Lithuania — next fetch in ~665m
[2026-07-06T21:53:23]   Skipping Sweden — next fetch in ~665m
[2026-07-06T21:53:23]   Skipping Serbia — next fetch in ~669m
[2026-07-06T21:53:23]   Skipping Slovakia — next fetch in ~669m
[2026-07-06T21:53:23]   Skipping EU Commision — next fetch in ~669m
[2026-07-06T21:53:23]   Skipping Germany — next fetch in ~669m
[2026-07-06T21:53:23]   Skipping UN Global News — next fetch in ~669m
[2026-07-06T21:53:24]   Skipping BBC World News — next fetch in ~670m
[2026-07-06T21:53:24]   Skipping Sky News World — next fetch in ~670m
[2026-07-06T21:53:24]   Skipping UK MOD — next fetch in ~670m
[2026-07-06T21:53:24]   Skipping Australia ABC News — next fetch in ~674m
[2026-07-06T21:53:24]   Skipping Falkland Islands — next fetch in ~4273m
[2026-07-06T21:53:24]   Skipping Nasa — next fetch in ~674m
[2026-07-06T21:53:24]   Skipping ESA — next fetch in ~674m
[2026-07-06T21:53:24]   Skipping AstronomyNow (News) — next fetch in ~674m
[2026-07-06T21:53:24]   Skipping SpaceNews (News) — next fetch in ~674m
[2026-07-06T21:53:24]   Skipping TechCrunch — next fetch in ~674m
[2026-07-06T21:54:04]   Skipping Pakistan Recorder — next fetch in ~662m
[2026-07-06T21:54:04]   Skipping India - The Hindu — next fetch in ~663m
[2026-07-06T21:54:04]   Skipping FT - China Economy — next fetch in ~664m
[2026-07-06T21:54:04]   Skipping China Economic Review — next fetch in ~665m
[2026-07-06T21:54:04]   Skipping The Liberty Times — next fetch in ~672m
[2026-07-06T21:54:04]   Skipping FT Global Trade — next fetch in ~662m
[2026-07-06T21:54:04]   Skipping Global Trade Magazine — next fetch in ~662m
[2026-07-06T21:54:04]   Skipping The Conversation - Trade — next fetch in ~662m
[2026-07-06T21:54:04]   Skipping DefenceNews — next fetch in ~662m
[2026-07-06T21:54:05]   Skipping DefenceIQ-MarketResearch — next fetch in ~662m
[2026-07-06T21:54:05]   Skipping DefenceIQ-Reports — next fetch in ~662m
[2026-07-06T21:54:05]   Skipping DefenceIQ-AirDefence — next fetch in ~663m
[2026-07-06T21:54:05]   Skipping DefenceTalk-AirDefence — next fetch in ~663m
[2026-07-06T21:54:05]   Skipping DefenceIQ-Articles — next fetch in ~663m
[2026-07-06T21:54:05]   Skipping JanesNews — next fetch in ~663m
[2026-07-06T21:54:05]   Skipping Raytheon — next fetch in ~664m
[2026-07-06T21:54:05]   Skipping Netherlands — next fetch in ~664m
[2026-07-06T21:54:05]   Skipping Estonia — next fetch in ~664m
[2026-07-06T21:54:05]   Skipping UK — next fetch in ~664m
[2026-07-06T21:54:05]   Skipping Lithuania — next fetch in ~664m
[2026-07-06T21:54:06]   Skipping Sweden — next fetch in ~664m
[2026-07-06T21:54:06]   Skipping Serbia — next fetch in ~668m
[2026-07-06T21:54:06]   Skipping Slovakia — next fetch in ~668m
[2026-07-06T21:54:06]   Skipping EU Commision — next fetch in ~668m
[2026-07-06T21:54:06]   Skipping Germany — next fetch in ~669m
[2026-07-06T21:54:06]   Skipping UN Global News — next fetch in ~669m
[2026-07-06T21:54:06]   Skipping BBC World News — next fetch in ~669m
[2026-07-06T21:54:06]   Skipping Sky News World — next fetch in ~669m
[2026-07-06T21:54:06]   Skipping UK MOD — next fetch in ~669m
[2026-07-06T21:54:06]   Skipping Australia ABC News — next fetch in ~673m
[2026-07-06T21:54:07]   Skipping Falkland Islands — next fetch in ~4273m
[2026-07-06T21:54:07]   Skipping Nasa — next fetch in ~674m
[2026-07-06T21:54:07]   Skipping ESA — next fetch in ~674m
[2026-07-06T21:54:07]   Skipping AstronomyNow (News) — next fetch in ~674m
[2026-07-06T21:54:07]   Skipping SpaceNews (News) — next fetch in ~674m
[2026-07-06T21:54:07]   Skipping TechCrunch — next fetch in ~674m
[2026-07-06T22:35:43]   Skipping Pakistan Recorder — next fetch in ~620m
[2026-07-06T22:35:43]   Skipping India - The Hindu — next fetch in ~621m
[2026-07-06T22:35:43]   Skipping FT - China Economy — next fetch in ~622m
[2026-07-06T22:35:43]   Skipping China Economic Review — next fetch in ~623m
[2026-07-06T22:35:44]   Skipping The Liberty Times — next fetch in ~630m
[2026-07-06T22:35:44]   Skipping FT Global Trade — next fetch in ~620m
[2026-07-06T22:35:44]   Skipping Global Trade Magazine — next fetch in ~620m
[2026-07-06T22:35:44]   Skipping The Conversation - Trade — next fetch in ~620m
[2026-07-06T22:35:44]   Skipping DefenceNews — next fetch in ~621m
[2026-07-06T22:35:44]   Skipping DefenceIQ-MarketResearch — next fetch in ~621m
[2026-07-06T22:35:44]   Skipping DefenceIQ-Reports — next fetch in ~621m
[2026-07-06T22:35:44]   Skipping DefenceIQ-AirDefence — next fetch in ~621m
[2026-07-06T22:35:44]   Skipping DefenceTalk-AirDefence — next fetch in ~621m
[2026-07-06T22:35:44]   Skipping DefenceIQ-Articles — next fetch in ~621m
[2026-07-06T22:35:45]   Skipping JanesNews — next fetch in ~621m
[2026-07-06T22:35:45]   Skipping Raytheon — next fetch in ~622m
[2026-07-06T22:35:45]   Skipping Netherlands — next fetch in ~622m
[2026-07-06T22:35:45]   Skipping Estonia — next fetch in ~622m
[2026-07-06T22:35:45]   Skipping UK — next fetch in ~622m
[2026-07-06T22:35:45]   Skipping Lithuania — next fetch in ~622m
[2026-07-06T22:35:45]   Skipping Sweden — next fetch in ~622m
[2026-07-06T22:35:45]   Skipping Serbia — next fetch in ~627m
[2026-07-06T22:35:45]   Skipping Slovakia — next fetch in ~627m
[2026-07-06T22:35:45]   Skipping EU Commision — next fetch in ~627m
[2026-07-06T22:35:45]   Skipping Germany — next fetch in ~627m
[2026-07-06T22:35:46]   Skipping UN Global News — next fetch in ~627m
[2026-07-06T22:35:46]   Skipping BBC World News — next fetch in ~627m
[2026-07-06T22:35:46]   Skipping Sky News World — next fetch in ~627m
[2026-07-06T22:35:46]   Skipping UK MOD — next fetch in ~627m
[2026-07-06T22:35:46]   Skipping Australia ABC News — next fetch in ~632m
[2026-07-06T22:35:46]   Skipping Falkland Islands — next fetch in ~4231m
[2026-07-06T22:35:46]   Skipping Nasa — next fetch in ~632m
[2026-07-06T22:35:46]   Skipping ESA — next fetch in ~632m
[2026-07-06T22:35:46]   Skipping AstronomyNow (News) — next fetch in ~632m
[2026-07-06T22:35:46]   Skipping SpaceNews (News) — next fetch in ~632m
[2026-07-06T22:35:46]   Skipping TechCrunch — next fetch in ~632m
[2026-07-06T22:43:18]   Skipping Pakistan Recorder — next fetch in ~613m
[2026-07-06T22:43:18]   Skipping India - The Hindu — next fetch in ~614m
[2026-07-06T22:43:19]   Skipping FT - China Economy — next fetch in ~615m
[2026-07-06T22:43:19]   Skipping China Economic Review — next fetch in ~616m
[2026-07-06T22:43:19]   Skipping The Liberty Times — next fetch in ~622m
[2026-07-06T22:43:19]   Skipping FT Global Trade — next fetch in ~612m
[2026-07-06T22:43:19]   Skipping Global Trade Magazine — next fetch in ~613m
[2026-07-06T22:43:19]   Skipping The Conversation - Trade — next fetch in ~613m
[2026-07-06T22:43:19]   Skipping DefenceNews — next fetch in ~613m
[2026-07-06T22:43:19]   Skipping DefenceIQ-MarketResearch — next fetch in ~613m
[2026-07-06T22:43:19]   Skipping DefenceIQ-Reports — next fetch in ~613m
[2026-07-06T22:43:19]   Skipping DefenceIQ-AirDefence — next fetch in ~613m
[2026-07-06T22:43:20]   Skipping DefenceTalk-AirDefence — next fetch in ~613m
[2026-07-06T22:43:20]   Skipping DefenceIQ-Articles — next fetch in ~614m
[2026-07-06T22:43:20]   Skipping JanesNews — next fetch in ~614m
[2026-07-06T22:43:20]   Skipping Raytheon — next fetch in ~615m
[2026-07-06T22:43:20]   Skipping Netherlands — next fetch in ~615m
[2026-07-06T22:43:20]   Skipping Estonia — next fetch in ~615m
[2026-07-06T22:43:20]   Skipping UK — next fetch in ~615m
[2026-07-06T22:43:20]   Skipping Lithuania — next fetch in ~615m
[2026-07-06T22:43:20]   Skipping Sweden — next fetch in ~615m
[2026-07-06T22:43:20]   Skipping Serbia — next fetch in ~619m
[2026-07-06T22:43:21]   Skipping Slovakia — next fetch in ~619m
[2026-07-06T22:43:21]   Skipping EU Commision — next fetch in ~619m
[2026-07-06T22:43:21]   Skipping Germany — next fetch in ~619m
[2026-07-06T22:43:21]   Skipping UN Global News — next fetch in ~620m
[2026-07-06T22:43:21]   Skipping BBC World News — next fetch in ~620m
[2026-07-06T22:43:21]   Skipping Sky News World — next fetch in ~620m
[2026-07-06T22:43:21]   Skipping UK MOD — next fetch in ~620m
[2026-07-06T22:43:21]   Skipping Australia ABC News — next fetch in ~624m
[2026-07-06T22:43:21]   Skipping Falkland Islands — next fetch in ~4224m
[2026-07-06T22:43:21]   Skipping Nasa — next fetch in ~624m
[2026-07-06T22:43:22]   Skipping ESA — next fetch in ~624m
[2026-07-06T22:43:22]   Skipping AstronomyNow (News) — next fetch in ~624m
[2026-07-06T22:43:22]   Skipping SpaceNews (News) — next fetch in ~624m
[2026-07-06T22:43:22]   Skipping TechCrunch — next fetch in ~624m
[2026-07-06T22:43:24]   Skipping Pakistan Recorder — next fetch in ~612m
[2026-07-06T22:43:24]   Skipping India - The Hindu — next fetch in ~614m
[2026-07-06T22:43:24]   Skipping FT - China Economy — next fetch in ~615m
[2026-07-06T22:43:24]   Skipping China Economic Review — next fetch in ~616m
[2026-07-06T22:43:24]   Skipping The Liberty Times — next fetch in ~622m
[2026-07-06T22:43:25]   Skipping FT Global Trade — next fetch in ~612m
[2026-07-06T22:43:25]   Skipping Global Trade Magazine — next fetch in ~613m
[2026-07-06T22:43:25]   Skipping The Conversation - Trade — next fetch in ~613m
[2026-07-06T22:43:25]   Skipping DefenceNews — next fetch in ~613m
[2026-07-06T22:43:25]   Skipping DefenceIQ-MarketResearch — next fetch in ~613m
[2026-07-06T22:43:25]   Skipping DefenceIQ-Reports — next fetch in ~613m
[2026-07-06T22:43:25]   Skipping DefenceIQ-AirDefence — next fetch in ~613m
[2026-07-06T22:43:25]   Skipping DefenceTalk-AirDefence — next fetch in ~613m
[2026-07-06T22:43:25]   Skipping DefenceIQ-Articles — next fetch in ~614m
[2026-07-06T22:43:25]   Skipping JanesNews — next fetch in ~614m
[2026-07-06T22:43:26]   Skipping Raytheon — next fetch in ~614m
[2026-07-06T22:43:26]   Skipping Netherlands — next fetch in ~615m
[2026-07-06T22:43:26]   Skipping Estonia — next fetch in ~615m
[2026-07-06T22:43:26]   Skipping UK — next fetch in ~615m
[2026-07-06T22:43:26]   Skipping Lithuania — next fetch in ~615m
[2026-07-06T22:43:26]   Skipping Sweden — next fetch in ~615m
[2026-07-06T22:43:26]   Skipping Serbia — next fetch in ~619m
[2026-07-06T22:43:26]   Skipping Slovakia — next fetch in ~619m
[2026-07-06T22:43:26]   Skipping EU Commision — next fetch in ~619m
[2026-07-06T22:43:26]   Skipping Germany — next fetch in ~619m
[2026-07-06T22:43:27]   Skipping UN Global News — next fetch in ~619m
[2026-07-06T22:43:27]   Skipping BBC World News — next fetch in ~620m
[2026-07-06T22:43:27]   Skipping Sky News World — next fetch in ~620m
[2026-07-06T22:43:27]   Skipping UK MOD — next fetch in ~620m
[2026-07-06T22:43:27]   Skipping Australia ABC News — next fetch in ~624m
[2026-07-06T22:43:27]   Skipping Falkland Islands — next fetch in ~4223m
[2026-07-06T22:43:27]   Skipping Nasa — next fetch in ~624m
[2026-07-06T22:43:27]   Skipping ESA — next fetch in ~624m
[2026-07-06T22:43:27]   Skipping AstronomyNow (News) — next fetch in ~624m
[2026-07-06T22:43:27]   Skipping SpaceNews (News) — next fetch in ~624m
[2026-07-06T22:43:28]   Skipping TechCrunch — next fetch in ~624m
[2026-07-06T22:47:15]   Skipping Pakistan Recorder — next fetch in ~609m
[2026-07-06T22:47:15]   Skipping India - The Hindu — next fetch in ~610m
[2026-07-06T22:47:15]   Skipping FT - China Economy — next fetch in ~611m
[2026-07-06T22:47:16]   Skipping China Economic Review — next fetch in ~612m
[2026-07-06T22:47:16]   Skipping The Liberty Times — next fetch in ~618m
[2026-07-06T22:47:16]   Skipping FT Global Trade — next fetch in ~609m
[2026-07-06T22:47:16]   Skipping Global Trade Magazine — next fetch in ~609m
[2026-07-06T22:47:16]   Skipping The Conversation - Trade — next fetch in ~609m
[2026-07-06T22:47:17]   Skipping DefenceNews — next fetch in ~609m
[2026-07-06T22:47:17]   Skipping DefenceIQ-MarketResearch — next fetch in ~609m
[2026-07-06T22:47:17]   Skipping DefenceIQ-Reports — next fetch in ~609m
[2026-07-06T22:47:17]   Skipping DefenceIQ-AirDefence — next fetch in ~609m
[2026-07-06T22:47:17]   Skipping DefenceTalk-AirDefence — next fetch in ~610m
[2026-07-06T22:47:18]   Skipping DefenceIQ-Articles — next fetch in ~610m
[2026-07-06T22:47:18]   Skipping JanesNews — next fetch in ~610m
[2026-07-06T22:47:18]   Skipping Raytheon — next fetch in ~611m
[2026-07-06T22:47:18]   Skipping Netherlands — next fetch in ~611m
[2026-07-06T22:47:18]   Skipping Estonia — next fetch in ~611m
[2026-07-06T22:47:18]   Skipping UK — next fetch in ~611m
[2026-07-06T22:47:18]   Skipping Lithuania — next fetch in ~611m
[2026-07-06T22:47:18]   Skipping Sweden — next fetch in ~611m
[2026-07-06T22:47:18]   Skipping Serbia — next fetch in ~615m
[2026-07-06T22:47:18]   Skipping Slovakia — next fetch in ~615m
[2026-07-06T22:47:19]   Skipping EU Commision — next fetch in ~615m
[2026-07-06T22:47:19]   Skipping Germany — next fetch in ~615m
[2026-07-06T22:47:19]   Skipping UN Global News — next fetch in ~616m
[2026-07-06T22:47:19]   Skipping BBC World News — next fetch in ~616m
[2026-07-06T22:47:19]   Skipping Sky News World — next fetch in ~616m
[2026-07-06T22:47:20]   Skipping UK MOD — next fetch in ~616m
[2026-07-06T22:47:20]   Skipping Australia ABC News — next fetch in ~620m
[2026-07-06T22:47:20]   Skipping Falkland Islands — next fetch in ~4220m
[2026-07-06T22:47:20]   Skipping Nasa — next fetch in ~620m
[2026-07-06T22:47:20]   Skipping ESA — next fetch in ~620m
[2026-07-06T22:47:20]   Skipping AstronomyNow (News) — next fetch in ~620m
[2026-07-06T22:47:21]   Skipping SpaceNews (News) — next fetch in ~620m
[2026-07-06T22:47:21]   Skipping TechCrunch — next fetch in ~620m
[2026-07-06T22:47:26]   Skipping Pakistan Recorder — next fetch in ~608m
[2026-07-06T22:47:26]   Skipping India - The Hindu — next fetch in ~610m
[2026-07-06T22:47:26]   Skipping FT - China Economy — next fetch in ~611m
[2026-07-06T22:47:26]   Skipping China Economic Review — next fetch in ~612m
[2026-07-06T22:47:27]   Skipping The Liberty Times — next fetch in ~618m
[2026-07-06T22:47:27]   Skipping FT Global Trade — next fetch in ~608m
[2026-07-06T22:47:27]   Skipping Global Trade Magazine — next fetch in ~609m
[2026-07-06T22:47:27]   Skipping The Conversation - Trade — next fetch in ~609m
[2026-07-06T22:47:27]   Skipping DefenceNews — next fetch in ~609m
[2026-07-06T22:47:27]   Skipping DefenceIQ-MarketResearch — next fetch in ~609m
[2026-07-06T22:47:28]   Skipping DefenceIQ-Reports — next fetch in ~609m
[2026-07-06T22:47:28]   Skipping DefenceIQ-AirDefence — next fetch in ~609m
[2026-07-06T22:47:28]   Skipping DefenceTalk-AirDefence — next fetch in ~609m
[2026-07-06T22:47:28]   Skipping DefenceIQ-Articles — next fetch in ~610m
[2026-07-06T22:47:28]   Skipping JanesNews — next fetch in ~610m
[2026-07-06T22:47:28]   Skipping Raytheon — next fetch in ~610m
[2026-07-06T22:47:28]   Skipping Netherlands — next fetch in ~610m
[2026-07-06T22:47:28]   Skipping Estonia — next fetch in ~611m
[2026-07-06T22:47:28]   Skipping UK — next fetch in ~611m
[2026-07-06T22:47:29]   Skipping Lithuania — next fetch in ~611m
[2026-07-06T22:47:29]   Skipping Sweden — next fetch in ~611m
[2026-07-06T22:47:29]   Skipping Serbia — next fetch in ~615m
[2026-07-06T22:47:29]   Skipping Slovakia — next fetch in ~615m
[2026-07-06T22:47:29]   Skipping EU Commision — next fetch in ~615m
[2026-07-06T22:47:29]   Skipping Germany — next fetch in ~615m
[2026-07-06T22:47:30]   Skipping UN Global News — next fetch in ~615m
[2026-07-06T22:47:30]   Skipping BBC World News — next fetch in ~615m
[2026-07-06T22:47:30]   Skipping Sky News World — next fetch in ~615m
[2026-07-06T22:47:30]   Skipping UK MOD — next fetch in ~616m
[2026-07-06T22:47:30]   Skipping Australia ABC News — next fetch in ~620m
[2026-07-06T22:47:30]   Skipping Falkland Islands — next fetch in ~4219m
[2026-07-06T22:47:31]   Skipping Nasa — next fetch in ~620m
[2026-07-06T22:47:31]   Skipping ESA — next fetch in ~620m
[2026-07-06T22:47:31]   Skipping AstronomyNow (News) — next fetch in ~620m
[2026-07-06T22:47:31]   Skipping SpaceNews (News) — next fetch in ~620m
[2026-07-06T22:47:31]   Skipping TechCrunch — next fetch in ~620m
